id,product_name,price,category,availability,description,img_primary,img_secondary,url
p84,Sleep â€“ Herbal Infusion â€“ 30g,10,mind & body care  herbal infusions,no,"A Bedtime Indulgence
A signature blend of time-tested Ayurveda herbs with proven natural benefits. Helps take away daily stress, gently unwind & relieve the body & mind, promoting dreamy restful sleep. Rich in natural anti-oxidants & cooling properties to help improve overall health & wellbeing. The tangy floral taste & sweet natural aroma helps soothe & calm the senses.",Sleep â€“ Herbal Infusion â€“ 30g_primary.jpg,Sleep â€“ Herbal Infusion â€“ 30g_secondary.jpg,https://store.spaceylon.com/product/sleep-herbal-infusion-30g/
p85,Relax â€“ Herbal Infusion â€“ 30g,10,mind & body care  herbal infusions,no,"An All-Day Indulgence
A signature blend of time-tested Ayurveda herbs with proven natural benefits. Helps refresh, uplift & invigorate the body & mind, promoting relaxed calm & internal balance. Rich in natural anti-oxidants & cooling properties to help improve overall health & wellbeing. The light tangy taste & natural aroma helps soothe & refresh the senses.",Relax â€“ Herbal Infusion â€“ 30g_primary.jpg,Relax â€“ Herbal Infusion â€“ 30g_secondary.jpg,https://store.spaceylon.com/product/relax-herbal-infusion-30g/
p86,Detox â€“ Herbal Infusion â€“ 30g,10,mind & body care  herbal infusions,no,"An Evening Indulgence
A signature blend of time-tested Ayurveda herbs with proven natural benefits. Helps cleanse and refresh the body. Rich in natural anti-oxidants & cooling properties to help improve overall health & wellbeing. The spiced tangy taste & natural aroma helps soothe & clarify the senses.",Detox â€“ Herbal Infusion â€“ 30g_primary.jpg,Detox â€“ Herbal Infusion â€“ 30g_secondary.jpg,https://store.spaceylon.com/product/detox-herbal-infusion-30g/
p87,Recovery â€“ Herbal Infusion â€“ 30g,10,mind & body care  herbal infusions,no,"An After-Workout Indulgence
A 100% natural, flavorful blend of time-tested Ayurveda herbs, fruits & flowers, with a light leafy taste & exotic herbal aroma. Enriched with naturally anti-oxidant Cinnamon, Peppermint, Lemongrass, help refresh, uplift & revitalize the body & mind. Rich in natural anti-oxidants & cooling properties, to promote overall wellness & internal balance.",Recovery â€“ Herbal Infusion â€“ 30g_primary.jpg,Recovery â€“ Herbal Infusion â€“ 30g_secondary.jpg,https://store.spaceylon.com/product/recovery-herbal-infusion-30g/
p88,Warmth â€“ Herbal Infusion â€“ 30g,10,mind & body care  herbal infusions,no,"An Evening Indulgence
A 100% natural, flavourful blend of time-tested Ayurveda herbs, fruits & flowers, with a light spicy taste & exotic herbal aroma. Enriched with naturally anti-oxidant Amla, Cinnamon, Ginger, Coriander, Cardamom, help soothe, warm & comfort the body & mind. Rich in natural anti-oxidants & cooling properties, to promote overall wellness & internal balance.",Warmth â€“ Herbal Infusion â€“ 30g_primary.jpg,Warmth â€“ Herbal Infusion â€“ 30g_secondary.jpg,https://store.spaceylon.com/product/warmth-herbal-infusion-30g/
p89,Hangover â€“ Herbal Infusion â€“ 30g,10,mind & body care  herbal infusions,no,"A Morning Indulgence
A 100% natural, flavorful blend of time-tested Ayurveda herbs, fruits & flowers, with a naturally sweet, tangy citrus taste & exotic herbal aroma. Enriched with naturally anti-oxidant Ginger, Licorice, Chamomile, Peppermint, Hibiscus, help comfort, awaken & balance the body & mind. Rich in natural anti-oxidants & cooling properties, to promote overall wellness & internal balance.",Hangover â€“ Herbal Infusion â€“ 30g_primary.jpg,Hangover â€“ Herbal Infusion â€“ 30g_secondary.jpg,https://store.spaceylon.com/product/hangover-herbal-infusion-30g/
p90,Unwind â€“ Herbal Infusion â€“ 30g,10,mind & body care  herbal infusions,no,"An Evening Indulgence
A 100% natural, flavourful blend of time-tested Ayurveda herbs, fruits & flowers, with a naturally sweet, light spicy taste & exotic herbal aroma. Enriched with naturally anti-oxidant Cinnamon, Licorice, Orange Peel, help soothe, comfort & relax the body & mind. Rich in natural anti-oxidants & cooling properties, to promote overall wellness & internal balance.",Unwind â€“ Herbal Infusion â€“ 30g_primary.jpg,Unwind â€“ Herbal Infusion â€“ 30g_secondary.jpg,https://store.spaceylon.com/product/unwind-herbal-infusion-30g/
p91,Vitality â€“ Herbal Infusion â€“ 30g,10,mind & body care  herbal infusions,no,"An Evening Indulgence
A 100% natural, flavourful blend of time-tested Ayurveda herbs, fruits & flowers, with a naturally sweet, earthy taste & exotic herbal aroma. Enriched with naturally anti-oxidant Ashwagandha, Licorice, Cinnamon, Lemongrass, Lemon & Orange Peel, help uplift, energise & invigorate the body & mind. Rich in natural anti-oxidants & cooling properties, to promote overall wellness & internal balance.",Vitality â€“ Herbal Infusion â€“ 30g_primary.jpg,Vitality â€“ Herbal Infusion â€“ 30g_secondary.jpg,https://store.spaceylon.com/product/vitality-herbal-infusion-30g/
p92,Immunity â€“ Herbal Infusion â€“ 30g,10,mind & body care  herbal infusions,no,"A Morning Indulgence
A 100% natural, flavorful blend of time-tested Ayurveda herbs, fruits & flowers, with a naturally sweet, light earthy taste & exotic herbal aroma. Enriched with naturally anti-oxidant Sarsaparilla, Licorice, Ginger, help reinforce, energize & strengthen the body & mind. Rich in natural anti-oxidants & cooling properties, to promote overall wellness & internal balance.",Immunity â€“ Herbal Infusion â€“ 30g_primary.jpg,Immunity â€“ Herbal Infusion â€“ 30g_secondary.jpg,https://store.spaceylon.com/product/immunity-herbal-infusion-30g/
p93,Soothe â€“ Herbal Infusion â€“ 30g,10,mind & body care  herbal infusions,no,"A Mid-Day Indulgence
A 100% natural, flavorful blend of time-tested Ayurveda herbs, fruits & flowers, with a refreshing minty taste & exotic herbal aroma. Enriched with naturally anti-oxidant Peppermint, Lemongrass, Gotukola, help cool, calm & relax the body & mind. Rich in natural anti-oxidants & cooling properties, to promote overall wellness & internal balance.",Soothe â€“ Herbal Infusion â€“ 30g_primary.jpg,Soothe â€“ Herbal Infusion â€“ 30g_secondary.jpg,https://store.spaceylon.com/product/soothe-herbal-infusion-30g/
