section,name,price,category,description,availability,img_primary,img_secondary,product_url
hair,Aloe Vera Watergrass -Hair Nourishing Oil 100ml,$16.00 ,ALOE VERA WATERGRASS,A powerful nourishing formula with Ayurveda WonderHerbs infused in vitamin-rich Virgin Coconut oil.,In Stock,Aloe Vera Watergrass -Hair Nourishing Oil 100ml_primary.jpg,Aloe Vera Watergrass -Hair Nourishing Oil 100ml_secondary.jpg,https://store.spaceylon.com/product/aloe-vera-watergrass-hair-nourishing-oil-100ml/
hair,Neelyadi -Medicated Scalp & Hair Treatment Oil 100ml,$12.00 ,DANDRUFF,"The deep penetrating medicated action nourishes & calms scalp & hair, to help effectively soothe, treat & control dandruff, itching, flaking & other related scalp problems.",Out of stock,Neelyadi -Medicated Scalp & Hair Treatment Oil 100ml_primary.jpg,Neelyadi -Medicated Scalp & Hair Treatment Oil 100ml_secondary.jpg,https://store.spaceylon.com/product/533719/
hair,Neroli Jasmine – Hair Nourishing Oil 100ml,$12.00 ,DAMAGED & COLOURED HAIR,A powerful nourishing formula with Ayurveda WonderHerbs infused in vitamin-rich Virgin Coconut oil.,Out of stock,Neroli Jasmine – Hair Nourishing Oil 100ml_primary.jpg,Neroli Jasmine – Hair Nourishing Oil 100ml_secondary.jpg,https://store.spaceylon.com/product/neroli-jasmine-hair-nourishing-oil-100ml/
hair,Neroli Jasmine – Nourishing Hair Conditioner – 250ml,$17.00 ,CONDITIONERS,"A complete natural hair repair treatment, blended with vitamin-rich Wheatgerm & Aloe Vera to help reinforce, strengthen & fortify scalp & hair balance, visibly repairing damage due to harsh colouring & chemical processes.",Out of stock,Neroli Jasmine – Nourishing Hair Conditioner – 250ml_primary.jpg,Neroli Jasmine – Nourishing Hair Conditioner – 250ml_secondary.jpg,https://store.spaceylon.com/product/neroli-jasmine-nourishing-hair-conditioner-250ml-2/
hair,Neroli Jasmine – Gentle Hair Cleanser – 250ml,$16.00 ,CLEANSER,"A mild sulphate-free natural formula, blended with vitamin-rich Aloe Vera & Virgin Coconut to purify hair & improve natural scalp balance.",Out of stock,Neroli Jasmine – Gentle Hair Cleanser – 250ml_primary.jpg,Neroli Jasmine – Gentle Hair Cleanser – 250ml_secondary.jpg,https://store.spaceylon.com/product/neroli-jasmine-gentle-hair-cleanser-250ml/
hair,Kesharaja – Gentle Hair Cleanser – 250ml,$16.00 ,CLEANSER,"A mild sulphate-free natural formula, super-charged with the powerful goodness of Kesharaja Treatment Oil.",Out of stock,Kesharaja – Gentle Hair Cleanser – 250ml_primary.jpg,Kesharaja – Gentle Hair Cleanser – 250ml_secondary.jpg,https://store.spaceylon.com/product/kesharaja-gentle-hair-cleanser-250ml/
hair,Virgin Coconut – Nourishing Hair Conditioner 250ml,$17.00 ,CONDITIONERS,"A total-care conditioner, blended with pure Virgin Coconut Oil – naturally cold pressed at source from the finest fresh coconuts hand-picked from the lush tropical gardens of Ceylon.",Out of stock,Virgin Coconut – Nourishing Hair Conditioner 250ml_primary.jpg,Virgin Coconut – Nourishing Hair Conditioner 250ml_secondary.jpg,https://store.spaceylon.com/product/virgin-coconut-nourishing-hair-conditioner-250ml/
hair,Virgin Coconut – Gentle Hair Cleanser 250ml,$16.00 ,CLEANSER,"A mild cleansing formula, blended with pure Virgin Coconut Oil – naturally cold pressed at source from the finest fresh coconuts hand-picked from the lush tropical gardens of Ceylon.",In Stock,Virgin Coconut – Gentle Hair Cleanser 250ml_primary.jpg,Virgin Coconut – Gentle Hair Cleanser 250ml_secondary.jpg,https://store.spaceylon.com/product/virgin-coconut-gentle-hair-cleanser-250ml/
hair,Kesharaja – Hair Treatment Masque 150ml,$18.00 ,HAIR TREATMENT MASQUES,"A deep penetrating regenerative treatment, super-charged with the powerful goodness of Kesharaja Treatment Oil.",In Stock,Kesharaja – Hair Treatment Masque 150ml_primary.jpg,Kesharaja – Hair Treatment Masque 150ml_secondary.jpg,https://store.spaceylon.com/product/kesharaja-hair-treatment-masque-150ml/
hair,Neroli Jasmine – Hair Treatment Masque 150ml,$18.00 ,DAMAGED & COLOURED HAIR,"A deep penetrating regenerative treatment blended with vitamin-rich Wheatgerm & Aloe Vera to nourish & fortify hair, enhancing overall hair wellness.",Out of stock,Neroli Jasmine – Hair Treatment Masque 150ml_primary.jpg,Neroli Jasmine – Hair Treatment Masque 150ml_secondary.jpg,https://store.spaceylon.com/product/neroli-jasmine-hair-treatment-masque-150ml/
